_id,city,date,ad_count,avg_age,email_count,phone_count
6221455240741654807e19ae,DES MOINES,2022-03-01,11,27.545454545454547,0,8
6221455240741654807e19af,TALLAHASSEE,2022-02-28,65,26.615384615384617,0,50
6221455240741654807e19b0,DENVER,2022-03-02,272,27.834558823529413,1,249
6221455240741654807e19b1,KALISPELL,2022-03-02,1,24.0,0,1
6221455240741654807e19b2,HONOLULU,2022-02-28,19,24.473684210526315,0,12
6221455240741654807e19b3,EVERETT,2022-02-28,39,26.05128205128205,0,28
6221455240741654807e19b4,SAN ANTONIO,2022-02-25,503,28.296222664015904,1,338
6221455240741654807e19b5,BUTTE,2022-02-27,4,25.75,0,3
6221455240741654807e19b6,DEL RIO,2022-02-25,28,26.214285714285715,0,23
6221455240741654807e19b7,PHOENIX,2022-02-28,769,29.395318595578672,0,515
6221455240741654807e19b8,MANSFIELD,2022-03-01,22,27.454545454545453,0,17
6221455240741654807e19b9,PARKERSBURG,2022-03-02,1,24.0,0,1
6221455240741654807e19ba,NASHVILLE,2022-02-28,357,28.282913165266105,0,238
6221455240741654807e19bb,JOPLIN,2022-03-02,8,26.625,0,8
6221455240741654807e19bc,HIGH POINT,2022-03-02,21,26.19047619047619,0,20
6221455240741654807e19bd,JACKSONVILLE,2022-03-02,194,26.88659793814433,1,188
6221455240741654807e19be,MATTOON,2022-02-26,8,28.25,0,7
6221455240741654807e19bf,WARWICK,2022-02-26,3,26.333333333333332,0,2
6221455240741654807e19c0,ODESSA,2022-02-27,104,26.576923076923077,0,76
6221455240741654807e19c1,SACRAMENTO,2022-02-27,636,26.20125786163522,0,428
6221455240741654807e19c2,BRAINERD,2022-02-28,6,25.666666666666668,0,5
6221455240741654807e19c3,WASHINGTON,2022-02-26,582,26.943298969072163,4,319
6221455240741654807e19c4,LAREDO,2022-02-25,38,27.526315789473685,0,29
6221455240741654807e19c5,HARRISBURG,2022-03-01,42,27.142857142857142,0,33
6221455240741654807e19c6,COLUMBIA,2022-02-25,245,28.351020408163265,0,176
6221455240741654807e19c7,BLOUNTVILLE,2022-02-25,27,26.037037037037038,0,20
6221455240741654807e19c8,PLATTSBURGH,2022-02-27,11,27.636363636363637,0,8
6221455240741654807e19c9,LEEDS,2022-02-27,1,26.0,0,1
6221455240741654807e19ca,BATTLE CREEK,2022-02-25,9,26.555555555555557,0,7
6221455240741654807e19cb,WACO,2022-02-27,58,26.70689655172414,0,46
6221455240741654807e19cc,SAVANNAH,2022-03-02,104,26.83653846153846,0,100
6221455240741654807e19cd,LAKE CHARLES,2022-02-25,72,26.666666666666668,1,51
6221455240741654807e19ce,MATTOON,2022-03-01,8,29.5,0,6
6221455240741654807e19cf,ATHENS,2022-02-27,99,26.97979797979798,0,78
6221455240741654807e19d0,WHEELING,2022-02-27,1,24.0,0,1
6221455240741654807e19d1,RENO,2022-03-02,74,27.83783783783784,0,72
6221455240741654807e19d2,GREAT FALLS,2022-03-02,1,30.0,0,1
6221455240741654807e19d3,SHOW LOW,2022-03-02,4,24.75,0,4
6221455240741654807e19d4,LEEDS,2022-03-01,1,26.0,0,1
6221455240741654807e19d5,HATTIESBURG,2022-02-27,10,26.4,0,8
6221455240741654807e19d6,DALLAS,2022-02-28,1272,27.15566037735849,2,808
6221455240741654807e19d7,ESSEX,2022-02-26,2,24.0,0,1
6221455240741654807e19d8,WATERTOWN,2022-02-28,11,26.545454545454547,0,8
6221455240741654807e19d9,KEY WEST,2022-02-26,31,26.806451612903224,1,27
